day_after_planting,date,n_kg,p2o5_kg,k2o_kg,mn_mixture_kg,urea_kg,map_kg,dap_kg,white_potash_kg,location_id,plot_id,treatment_id
20,2026-03-22 00:00:00,,,,,,,,,L001,P004,T4
30,2026-04-01 00:00:00,,,,,,,,,L001,P004,T4
40,2026-04-11 00:00:00,0.36,0.3,0.1821825,,0.6530832,0.49199999999999994,,0.30424477499999997,L001,P004,T4
50,2026-04-21 00:00:00,0.36,0.3,0.1821825,,0.6530832,0.49199999999999994,,0.30424477499999997,L001,P004,T4
60,2026-05-01 00:00:00,0.36,0.3,0.1821825,,0.6530832,0.49199999999999994,,0.30424477499999997,L001,P004,T4
70,2026-05-11 00:00:00,0.36,0.3,0.1821825,,0.6530832,0.49199999999999994,,0.30424477499999997,L001,P004,T4
80,2026-05-21 00:00:00,0.36,0.3,0.1821825,,0.6530832,0.49199999999999994,,0.30424477499999997,L001,P004,T4
90,2026-05-31 00:00:00,0.36,0.3,0.1821825,,0.6530832,0.49199999999999994,,0.30424477499999997,L001,P004,T4
100,2026-06-10 00:00:00,0.55,,0.42509249999999993,,1.1935,,,0.7099044749999999,L001,P004,T4
110,2026-06-20 00:00:00,0.55,,0.42509249999999993,,1.1935,,,0.7099044749999999,L001,P004,T4
120,2026-06-30 00:00:00,0.55,,0.42509249999999993,1.8,1.1935,,,0.7099044749999999,L001,P004,T4
130,2026-07-10 00:00:00,0.55,,0.42509249999999993,,1.1935,,,0.7099044749999999,L001,P004,T4
140,2026-07-20 00:00:00,0.55,,0.42509249999999993,,1.1935,,,0.7099044749999999,L001,P004,T4
150,2026-07-30 00:00:00,0.55,,0.42509249999999993,,1.1935,,,0.7099044749999999,L001,P004,T4
160,2026-08-09 00:00:00,0.227725,,0.40484999999999993,,0.49416325,,,0.6760994999999999,L001,P004,T4
170,2026-08-19 00:00:00,0.227725,,0.40484999999999993,,0.49416325,,,0.6760994999999999,L001,P004,T4
180,2026-08-29 00:00:00,0.227725,,0.40484999999999993,,0.49416325,,,0.6760994999999999,L001,P004,T4
190,2026-09-08 00:00:00,0.227725,,0.40484999999999993,,0.49416325,,,0.6760994999999999,L001,P004,T4
200,2026-09-18 00:00:00,0.227725,,0.40484999999999993,,0.49416325,,,0.6760994999999999,L001,P004,T4
210,2026-09-28 00:00:00,0.227725,,0.40484999999999993,,0.49416325,,,0.6760994999999999,L001,P004,T4
220,2026-10-08 00:00:00,0.227725,,0.40484999999999993,,0.49416325,,,0.6760994999999999,L001,P004,T4
230,2026-10-18 00:00:00,0.227725,,0.40484999999999993,,0.49416325,,,0.6760994999999999,L001,P004,T4
240,2026-10-28 00:00:00,0.227725,,0.40484999999999993,,0.49416325,,,0.6760994999999999,L001,P004,T4
1,2026-03-02 00:00:00,0.72,1.83,,1.8,,,3.97,,L001,P018,T4
10,2026-03-12 00:00:00,,,,,,,,,L001,P018,T4
20,2026-03-22 00:00:00,,,,,,,,,L001,P018,T4
30,2026-04-01 00:00:00,,,,,,,,,L001,P018,T4
40,2026-04-11 00:00:00,0.36,0.3,0.1821825,,0.6530832,0.49199999999999994,,0.30424477499999997,L001,P018,T4
50,2026-04-21 00:00:00,0.36,0.3,0.1821825,,0.6530832,0.49199999999999994,,0.30424477499999997,L001,P018,T4
60,2026-05-01 00:00:00,0.36,0.3,0.1821825,,0.6530832,0.49199999999999994,,0.30424477499999997,L001,P018,T4
70,2026-05-11 00:00:00,0.36,0.3,0.1821825,,0.6530832,0.49199999999999994,,0.30424477499999997,L001,P018,T4
80,2026-05-21 00:00:00,0.36,0.3,0.1821825,,0.6530832,0.49199999999999994,,0.30424477499999997,L001,P018,T4
90,2026-05-31 00:00:00,0.36,0.3,0.1821825,,0.6530832,0.49199999999999994,,0.30424477499999997,L001,P018,T4
100,2026-06-10 00:00:00,0.55,,0.42509249999999993,,1.1935,,,0.7099044749999999,L001,P018,T4
110,2026-06-20 00:00:00,0.55,,0.42509249999999993,,1.1935,,,0.7099044749999999,L001,P018,T4
120,2026-06-30 00:00:00,0.55,,0.42509249999999993,1.8,1.1935,,,0.7099044749999999,L001,P018,T4
130,2026-07-10 00:00:00,0.55,,0.42509249999999993,,1.1935,,,0.7099044749999999,L001,P018,T4
140,2026-07-20 00:00:00,0.55,,0.42509249999999993,,1.1935,,,0.7099044749999999,L001,P018,T4
150,2026-07-30 00:00:00,0.55,,0.42509249999999993,,1.1935,,,0.7099044749999999,L001,P018,T4
160,2026-08-09 00:00:00,0.227725,,0.40484999999999993,,0.49416325,,,0.6760994999999999,L001,P018,T4
170,2026-08-19 00:00:00,0.227725,,0.40484999999999993,,0.49416325,,,0.6760994999999999,L001,P018,T4
180,2026-08-29 00:00:00,0.227725,,0.40484999999999993,,0.49416325,,,0.6760994999999999,L001,P018,T4
190,2026-09-08 00:00:00,0.227725,,0.40484999999999993,,0.49416325,,,0.6760994999999999,L001,P018,T4
200,2026-09-18 00:00:00,0.227725,,0.40484999999999993,,0.49416325,,,0.6760994999999999,L001,P018,T4
210,2026-09-28 00:00:00,0.227725,,0.40484999999999993,,0.49416325,,,0.6760994999999999,L001,P018,T4
220,2026-10-08 00:00:00,0.227725,,0.40484999999999993,,0.49416325,,,0.6760994999999999,L001,P018,T4
230,2026-10-18 00:00:00,0.227725,,0.40484999999999993,,0.49416325,,,0.6760994999999999,L001,P018,T4
240,2026-10-28 00:00:00,0.227725,,0.40484999999999993,,0.49416325,,,0.6760994999999999,L001,P018,T4
1,2026-03-02 00:00:00,0.72,1.83,,1.8,,,4,,L001,P005,T5
10,2026-03-12 00:00:00,,,,,,,,,L001,P005,T5
20,2026-03-22 00:00:00,,,,,,,,,L001,P005,T5
30,2026-04-01 00:00:00,,,,,,,,,L001,P005,T5
40,2026-04-11 00:00:00,0.3583,0.3,0.1821825,,0.6493942,0.49199999999999994,,0.30424477499999997,L001,P005,T5
50,2026-04-21 00:00:00,0.3583,0.3,0.1821825,,0.6493942,0.49199999999999994,,0.30424477499999997,L001,P005,T5
60,2026-05-01 00:00:00,0.3583,0.3,0.1821825,,0.6493942,0.49199999999999994,,0.30424477499999997,L001,P005,T5
70,2026-05-11 00:00:00,0.3583,0.3,0.1821825,,0.6493942,0.49199999999999994,,0.30424477499999997,L001,P005,T5
80,2026-05-21 00:00:00,0.3583,0.3,0.1821825,,0.6493942,0.49199999999999994,,0.30424477499999997,L001,P005,T5
90,2026-05-31 00:00:00,0.3583,0.3,0.1821825,,0.6493942,0.49199999999999994,,0.30424477499999997,L001,P005,T5
100,2026-06-10 00:00:00,0.5466,,0.42509249999999993,,1.186122,,,0.7099044749999999,L001,P005,T5
110,2026-06-20 00:00:00,0.5466,,0.42509249999999993,,1.186122,,,0.7099044749999999,L001,P005,T5
120,2026-06-30 00:00:00,0.5466,,0.42509249999999993,1.8,1.186122,,,0.7099044749999999,L001,P005,T5
130,2026-07-10 00:00:00,0.5466,,0.42509249999999993,,1.186122,,,0.7099044749999999,L001,P005,T5
140,2026-07-20 00:00:00,0.5466,,0.42509249999999993,,1.186122,,,0.7099044749999999,L001,P005,T5
150,2026-07-30 00:00:00,0.5466,,0.42509249999999993,,1.186122,,,0.7099044749999999,L001,P005,T5
160,2026-08-09 00:00:00,0.227725,,0.40484999999999993,,0.49416325,,,0.6760994999999999,L001,P005,T5
170,2026-08-19 00:00:00,0.2277,,0.40484999999999993,,0.494109,,,0.6760994999999999,L001,P005,T5
180,2026-08-29 00:00:00,0.227725,,0.40484999999999993,,0.49416325,,,0.6760994999999999,L001,P005,T5
190,2026-09-08 00:00:00,0.227725,,0.40484999999999993,,0.49416325,,,0.6760994999999999,L001,P005,T5
200,2026-09-18 00:00:00,0.227725,,0.40484999999999993,,0.49416325,,,0.6760994999999999,L001,P005,T5
210,2026-09-28 00:00:00,0.227725,,0.40484999999999993,,0.49416325,,,0.6760994999999999,L001,P005,T5
220,2026-10-08 00:00:00,0.227725,,0.40484999999999993,,0.49416325,,,0.6760994999999999,L001,P005,T5
230,2026-10-18 00:00:00,0.227725,,0.40484999999999993,,0.49416325,,,0.6760994999999999,L001,P005,T5
240,2026-10-28 00:00:00,0.227725,,0.40484999999999993,,0.49416325,,,0.6760994999999999,L001,P005,T5
1,2026-03-02 00:00:00,0.72,1.83,,1.8,,,4,,L001,P019,T5
10,2026-03-12 00:00:00,,,,,,,,,L001,P019,T5
20,2026-03-22 00:00:00,,,,,,,,,L001,P019,T5
30,2026-04-01 00:00:00,,,,,,,,,L001,P019,T5
40,2026-04-11 00:00:00,0.3583,0.3,0.1821825,,0.6493942,0.49199999999999994,,0.30424477499999997,L001,P019,T5
50,2026-04-21 00:00:00,0.3583,0.3,0.1821825,,0.6493942,0.49199999999999994,,0.30424477499999997,L001,P019,T5
60,2026-05-01 00:00:00,0.3583,0.3,0.1821825,,0.6493942,0.49199999999999994,,0.30424477499999997,L001,P019,T5
70,2026-05-11 00:00:00,0.3583,0.3,0.1821825,,0.6493942,0.49199999999999994,,0.30424477499999997,L001,P019,T5
80,2026-05-21 00:00:00,0.3583,0.3,0.1821825,,0.6493942,0.49199999999999994,,0.30424477499999997,L001,P019,T5
90,2026-05-31 00:00:00,0.3583,0.3,0.1821825,,0.6493942,0.49199999999999994,,0.30424477499999997,L001,P019,T5
